"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"violent offense other, conspiracy","violent","community","community safety",0.7,"conspiracy",0.2,"Conspiracy Propulsion Of Missiles Onto Roadways"
"public order offense, other","public order","community","community safety",0.3,"occured",0.15,"Unlawful discharge of paintball gun or paintball marker"
"violent offense other, conspiracy","violent","individual","physical",0.8,"conspiracy",0.08,"Conspiracy Propel Missile Into Occ Vehicles"
"public order offense, other","public order","community","community safety",0.1,"occured",0.5,"Television Equip. Improp. Placed"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.1,"Exceed Max Speed Lim Estb By 75 MPH"
"liquor law violation","public order","community","community safety",0.1,"occured",0.05,"Open Container"
"forgery/fraud","property","institutional","financial or economic",0.8,"occured",0.1,"Workmans Compensation Insurance Fraud"
"other property offense, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Criminal Solicitation Computer Trespass - Remove Data"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.2,"Criminal Solicitation Computer Theft"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.1,"Exceed 65 MPH For All Vehicles By 26 MPH"
"public order offense, other","public order","community","community safety",0.2,"occured",0.7,"Garbage/Refuse"
"liquor law violation","public order","individual","community safety",0.4,"occured",0.3,"Chemical Testing Determine Alcohol In Minors"
"forgery/fraud, attempted","property","institutional","financial or economic",0.7,"attempted",0.1,"Criminal Attempt Insurance Fraud"
"burglary, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.1,"Criminal Solicitation Burglary - Overnight Accommodation, No Person Present"
"other drug offense, conspiracy","drug","institutional","community safety",0.7,"conspiracy",0.4,"Conspiracy Possess Control Subs, Contraband/Inmate"
"commercialized vice","public order","community","community safety",0.2,"occured",0.3,"Unlicensed Sale: Operate Or Be Employed"
"distribution, drug unspecified, conspiracy","drug","societal","community safety",0.4,"conspiracy",0.3,"Conspiracy Acq Or Obt Poss Of Contr Subs Misre"
"not known/missing","not known/missing","individual","financial or economic",0.1,"occured",1,"Migrated Statute"
"extortion/threat","violent","individual","emotional or psychological",0.9,"occured",0.12,"Criminal Solicitation Retaliation Against Witness or Victim"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 65 MPH For All Vehicles By 16 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.15,"Obedience to Authorized Persons Directing Traffic"
"other property offense, conspiracy","property","institutional","community safety",0.6,"conspiracy",0.2,"Conspiracy Unlaw. Use of Computer - Access to Disrupt Funct."
"weapons offense","public order","community","community safety",0.5,"occured",0.2,"Carry/Disch Air Rif Hwy/Pub Land/Pub Plac"
"theft, value unknown, attempted","property","individual","financial or economic",0.6,"attempted",0.1,"Criminal Attempt Theft By Unlaw Taking-Immovable Prop"
"liquor law violation","public order","community","community safety",0.1,"occured",0.05,"POSSESSION OF OPEN CONTAINER IN PUBLIC"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.2,"Exceed 25 MPH Residence Dist. By 50 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 25 MPH Residence Dist. By 14 MPH"
"public order offense, other","public order","societal","community safety",0.2,"occured",0.1,"Obscured Plates - Inhibit Operation of Red Light Enforcement System"
"not known/missing","not known/missing","community","community safety",0.1,"occured",1,"Penalty For Violation"
"burglary","property","individual","financial or economic",0.7,"occured",0.1,"Burglary-Bldg W/O Overnight Accom."
"burglary, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.05,"Conspiracy Burglary-Bldg W/O Overnight Accom."
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 65 OR 70 MPH For All Vehicles By 35 MPH"
"arson, conspiracy","violent","individual","physical",0.9,"conspiracy",0.1,"Conspiracy Arson-Danger Of Death Or Bodily Inj"
"public order offense, other","public order","community","community safety",0.3,"occured",0.4,"Dealing In Official Traffic Control Devices, Etc"
"not known/missing","not known/missing","community","community safety",0.1,"occured",0.9,"Classes Of License/Class M"
"offense against morals/decency","public order","community","community safety",0.3,"occured",0.15,"Sell Obscene/Sexual Materials"
"traffic offense, minor","criminal traffic","societal","community safety",0.2,"occured",0.1,"Proof Of Financial Resp Following Accident"
"flight to avoid prosecution, conspiracy","public order","community","community safety",0.5,"conspiracy",0.1,"Conspiracy Flight To Avoid Appreh/Trial/Punish"
"kidnapping, conspiracy","violent","individual","emotional or psychological",0.9,"conspiracy",0.1,"Conspiracy Kidnapping of Minor - Facilitate Felony/Flight"
"offense against morals/decency","public order","community","emotional or psychological",0.3,"occured",0.2,"Design Obscene/Sexual Materials"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.1,"Exceed 55 MPH In Other Loc By 46 MPH"
"sale of stolen property","property","individual","financial or economic",0.8,"occured",0.15,"Transports, Sells, Transfers, Purchases, etc Illegally obtained from chop shop"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Disregard Flashing Red Signal"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Head Lamp Requirements"
"distribution other controlled substances, conspiracy","drug","community","community safety",0.5,"conspiracy",0.3,"Criminal Solicitation Contraband/Controlled Substance"
"extortion/threat, attempted","violent","individual","emotional or psychological",0.7,"attempted",0.2,"Criminal Attempt Theft Extort-Threat To Accuse Another"
"extortion/threat, attempted","violent","individual","emotional or psychological",0.8,"attempted",0.12,"Criminal Attempt Theft Extort-Inflict Harm Not Benefit Actor"
"burglary, attempted","property","individual","financial or economic",0.7,"attempted",0.1,"Criminal Attempt Burglary"
"public order offense, other, attempted","public order","community","community safety",0.3,"attempted",0.2,"Criminal Attempt Illegal To Taunt Police Animal"
"violent offense, other","violent","individual","physical",0.8,"occured",0.1,"Illegal To Torture Police Animal"
"other property offense","property","community","community safety",0.5,"occured",0.2,"Disposition of Vehicle or Vehicle Part With Altered Vehicle Identification Number"
"public order offense, other","public order","community","community safety",0.1,"occured",0.4,"PAN HANDLING"
"burglary, attempted","property","individual","financial or economic",0.6,"attempted",0.1,"Criminal Attempt Burglary - Not Adapted for Overnight Accommodation, Person Present"
"fraudulent drug offense","drug","individual","financial or economic",0.7,"occured",0.1,"Procure For Self/Other Drug By Fraud"
"aggravated assault, attempted","violent","individual","physical",0.8,"attempted",0.05,"Criminal Attempt Aggravated Assault"
"not known/missing","not known/missing","individual","physical",0,"occured",1,"Penalty - Felony"
"conspiracy to commit murder","violent","individual","physical",1,"conspiracy",0.1,"Criminal Attempt Attempt, Solicitation, Conspir Commit Murder"
"other court offense, conspiracy","public order","institutional","community safety",0.5,"conspiracy",0.2,"Conspiracy False Identification To Law Enforcement Officer"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Unlawful Oper. Snow/Atv - Turn W/Out Signaling"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"SPITTING IN PUBLIC PLACES"
"public order offense, other, attempted","public order","institutional","community safety",0.1,"attempted",0.3,"Procure/Attempt to Procure License, Permit, Certificate"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.15,"Criminal Solicitation Theft From A Motor Vehicle"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed Max Speed Lim Estb By 55 MPH"
"public order offense, other","public order","community","community safety",0.2,"occured",0.3,"Compliance W/Exhaust Rqrmts"
"kidnapping, conspiracy","violent","individual","physical",0.95,"conspiracy",0.05,"Conspiracy Kidnap To Inflict Inj/Terror"
"kidnapping, conspiracy","violent","individual","emotional or psychological",0.7,"conspiracy",0.25,"Conspiracy False Imprisonment"
"violent offense other, conspiracy","violent","individual","physical",0.8,"conspiracy",0.3,"Conspiracy Crime Committed W/Firearm"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Criminal Solicitation Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child"
"statutory rape, attempted","violent","individual","emotional or psychological",0.9,"attempted",0.1,"Criminal Attempt Statutory Sexual Assault:  11 Years Older"
"child molestation, attempted","violent","individual","emotional or psychological",0.8,"attempted",0.2,"Criminal Attempt Corruption Of Minors - Defendant Age 18 or Above"
"financial crimes","public order","societal","financial or economic",0.4,"occured",0.3,"Engage In Debt Pooling"
"traffic offense, minor","criminal traffic","individual","community safety",0.2,"occured",0.05,"park in handicapped zone"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Vehicle Parked with Expired Inspection"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.1,"Dissem Photo/Film Of Child Sex Acts"
"burglary, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.1,"Conspiracy Burglary"
"disorderly conduct offense","public order","community","community safety",0.6,"occured",0.15,"Disorderly Conduct Towards Police Officer"
"other property offense, conspiracy","property","community","financial or economic",0.5,"conspiracy",0.2,"Conspiracy Criminal Mischief"
"other property offense, attempt","property","individual","financial or economic",0.6,"attempted",0.2,"Criminal Attempt Publ, Make, See, Etc Access Device Altered, Etc"
"obstruction/resisting, attempted","public order","institutional","community safety",0.5,"attempted",0.1,"Criminal Attempt Obstruct Admin Law/Other Govt Func"
"fraudulent drug offense","drug","individual","financial or economic",0.6,"occured",0.2,"Sell Noncont Subs Upon Repres Rec"
"criminal trespass, conspiracy","property","individual","privacy",0.4,"conspiracy",0.3,"Conspiracy Criminal Trespass/Simple Trespasser"
"petty theft (=<$500)","property","individual","financial or economic",0.7,"attempted",0.2,"Criminal Solicitation Retail Theft-Take Mdse"
